α_weak	α_strong	α	gam_neg	shape	analysis	method
0.0404399	0.00639656	0.0517013	686.07	0.251015	bt_strong_0.4	abc_mk
0.0480401	0.00648741	0.0695041	351.19	0.252762	bt_strong_0.4	abc_mk
0.0447441	0.00759131	0.0563851	362.539	0.261064	bt_strong_0.4	abc_mk
0.053287	0.00576176	0.0757833	560.59	0.223764	bt_strong_0.4	abc_mk
0.038379	0.00738835	0.0584108	410.443	0.270796	bt_strong_0.4	abc_mk
0.0383751	0.00754025	0.0664087	652.241	0.226212	bt_strong_0.4	abc_mk
0.0368716	0.00779159	0.0600745	361.727	0.238887	bt_strong_0.4	abc_mk
0.0352652	0.00958701	0.05054	423.736	0.261895	bt_strong_0.4	abc_mk
0.0487988	0.00791749	0.0855928	400.79	0.239878	bt_strong_0.4	abc_mk
0.0409696	0.00846787	0.0613371	686.195	0.256434	bt_strong_0.4	abc_mk
0.0409264	0.00834077	0.0600407	358.846	0.24413	bt_strong_0.4	abc_mk
0.03687	0.0065672	0.0667092	396.481	0.247632	bt_strong_0.4	abc_mk
0.0502576	0.00695054	0.0802563	689.38	0.266327	bt_strong_0.4	abc_mk
0.0456068	0.00371537	0.0733851	347.056	0.255991	bt_strong_0.4	abc_mk
0.0357159	0.00916185	0.0590924	352.888	0.252134	bt_strong_0.4	abc_mk
0.0353575	0.00746372	0.0482477	646.433	0.234251	bt_strong_0.4	abc_mk
0.055806	0.00569451	0.0669933	431.682	0.250659	bt_strong_0.4	abc_mk
0.0354557	0.00608823	0.053433	378.201	0.272632	bt_strong_0.4	abc_mk
0.0619927	0.00510601	0.0727652	349.181	0.241738	bt_strong_0.4	abc_mk
0.0392523	0.00851581	0.055276	661.834	0.239898	bt_strong_0.4	abc_mk
0.0413087	0.00751467	0.064443	404.374	0.254474	bt_strong_0.4	abc_mk
0.0251221	0.00975808	0.0402271	635.717	0.245155	bt_strong_0.4	abc_mk
0.0427673	0.00693294	0.0602894	630.38	0.263016	bt_strong_0.4	abc_mk
0.0315684	0.00705549	0.0466292	341.27	0.257958	bt_strong_0.4	abc_mk
0.041888	0.00912217	0.0615922	339.383	0.239106	bt_strong_0.4	abc_mk
0.0502779	0.00486224	0.0491134	294.582	0.295328	bt_strong_0.4	abc_mk
0.0468457	0.00741556	0.0760497	431.056	0.25468	bt_strong_0.4	abc_mk
0.0683268	0.00974661	0.0892185	620.151	0.233557	bt_strong_0.4	abc_mk
0.0592997	0.00945214	0.0809142	650.137	0.24823	bt_strong_0.4	abc_mk
0.0430086	0.00923667	0.061578	596.136	0.246152	bt_strong_0.4	abc_mk
0.0410379	0.0067012	0.0781651	372.034	0.257194	bt_strong_0.4	abc_mk
0.0369476	0.00767271	0.0609215	375.262	0.252712	bt_strong_0.4	abc_mk
0.0368806	0.00604047	0.0576158	377.449	0.231119	bt_strong_0.4	abc_mk
0.0314968	0.00900741	0.04919	655.227	0.249239	bt_strong_0.4	abc_mk
0.0582517	0.00691517	0.0790023	418.694	0.221778	bt_strong_0.4	abc_mk
0.0286915	0.00871367	0.0443109	381.24	0.241238	bt_strong_0.4	abc_mk
0.0424986	0.00790329	0.0644314	373.777	0.227449	bt_strong_0.4	abc_mk
0.0546915	0.00752431	0.071983	656.206	0.254029	bt_strong_0.4	abc_mk
0.0386196	0.00901438	0.0554663	339.128	0.243638	bt_strong_0.4	abc_mk
0.0849544	0.00923419	0.101991	487.5	0.25242	bt_strong_0.4	abc_mk
0.0533226	0.00720188	0.0704413	397.334	0.253764	bt_strong_0.4	abc_mk
0.0545359	0.00850425	0.0746641	672.559	0.248229	bt_strong_0.4	abc_mk
0.037975	0.00511683	0.0577438	520.932	0.244942	bt_strong_0.4	abc_mk
0.0388396	0.0113836	0.0628521	364.769	0.213656	bt_strong_0.4	abc_mk
0.0171005	0.0205222	0.0560594	372.633	0.099427	bt_strong_0.999	abc_mk
0.0179911	0.0353461	0.0658335	380.97	0.10456	bt_strong_0.999	abc_mk
0.0233712	0.0391723	0.0762398	388.539	0.102592	bt_strong_0.999	abc_mk
0.0182016	0.015462	0.0602773	377.421	0.100343	bt_strong_0.999	abc_mk
0.0244779	0.0165936	0.0643221	366.209	0.101708	bt_strong_0.999	abc_mk
0.0159512	0.0203802	0.053358	382.08	0.109531	bt_strong_0.999	abc_mk
0.022027	0.011838	0.0484266	612.687	0.0957132	bt_strong_0.999	abc_mk
0.015724	0.0457002	0.0718559	388.513	0.105687	bt_strong_0.999	abc_mk
0.0183175	0.0173018	0.0594268	349.616	0.0979828	bt_strong_0.999	abc_mk
0.023391	0.0206458	0.070794	378.951	0.105173	bt_strong_0.999	abc_mk
0.0184458	0.0221671	0.0560521	385.807	0.107502	bt_strong_0.999	abc_mk
0.0175823	0.0382748	0.0698775	344.107	0.112232	bt_strong_0.999	abc_mk
0.0203818	0.0189826	0.0719543	388.07	0.0950356	bt_strong_0.999	abc_mk
0.0192909	0.0252519	0.0660242	369.403	0.104801	bt_strong_0.999	abc_mk
0.0182645	0.0192474	0.0544395	377.764	0.10345	bt_strong_0.999	abc_mk
0.0191643	0.0144053	0.0543499	381.619	0.102653	bt_strong_0.999	abc_mk
0.0148346	0.00861726	0.0390139	353.158	0.0985172	bt_strong_0.999	abc_mk
0.0152932	0.0134723	0.0414752	372.681	0.0945069	bt_strong_0.999	abc_mk
0.0196807	0.0139502	0.0534745	375.766	0.0991531	bt_strong_0.999	abc_mk
