method	w	b	analysis	aw	as	a
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10477	0.05606	0.16082
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10485	0.05605	0.1609
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10513	0.0557	0.16083
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10506	0.05585	0.16091
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10501	0.05589	0.16089
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10487	0.05602	0.16089
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10495	0.05566	0.16061
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1049	0.05564	0.16054
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10499	0.05567	0.16066
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10493	0.05595	0.16088
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10505	0.05585	0.16091
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10496	0.05594	0.1609
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10522	0.05595	0.16117
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10492	0.05587	0.16079
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10494	0.05598	0.16092
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10518	0.05603	0.16121
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10518	0.05585	0.16103
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10505	0.05589	0.16095
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10489	0.05595	0.16084
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10508	0.05556	0.16065
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10501	0.0561	0.1611
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10478	0.05564	0.16042
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10509	0.05582	0.16092
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10525	0.056	0.16125
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.0493	0.22377	0.27307
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.0493	0.22401	0.27331
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04938	0.22391	0.27329
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04913	0.22397	0.2731
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04917	0.22388	0.27305
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04914	0.22403	0.27317
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04916	0.22351	0.27268
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04933	0.22357	0.2729
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04935	0.22414	0.27349
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04917	0.22427	0.27344
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04923	0.22412	0.27335
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04928	0.2237	0.27299
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04941	0.22364	0.27305
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04936	0.22413	0.27349
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04937	0.22397	0.27334
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04928	0.22394	0.27322
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04918	0.22359	0.27277
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04925	0.22395	0.27319
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.0492	0.22348	0.27268
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04917	0.22365	0.27282
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04914	0.22361	0.27275
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04945	0.22376	0.27321
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04944	0.22354	0.27298
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04925	0.22399	0.27325
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04911	0.22376	0.27287
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04921	0.22368	0.27289
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04911	0.22385	0.27296
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04936	0.22382	0.27318
SLiM	0.1	0.4	noDemog_0.4_0.1_0.4	0.04934	0.22431	0.27364
