aw	as	a	gamNeg	shape	analysis	b	w	method
0.0616981	0.102315	0.155996	783.167	0.139173	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0952061	0.0627262	0.156794	598.363	0.140339	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.138701	0.0642621	0.180961	653.016	0.146999	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.104733	0.0733558	0.165128	768.943	0.147066	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.171158	0.0601963	0.208716	473.548	0.153531	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.156062	0.0397435	0.187675	873.319	0.148065	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12387	0.0823537	0.202755	448.348	0.152883	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.148223	0.0634479	0.203675	837.011	0.153682	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.125825	0.0542395	0.181109	482.228	0.148581	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0906005	0.112992	0.193789	370.615	0.153124	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.115844	0.0460854	0.152424	760.995	0.140925	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.146547	0.063996	0.198648	444.937	0.151079	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.123059	0.0605383	0.173851	788.225	0.148163	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.119658	0.0761214	0.178574	788.871	0.148115	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.156416	0.0462255	0.201901	838.617	0.151736	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.113134	0.0788123	0.168158	787.391	0.141837	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.13372	0.0597492	0.186871	455.908	0.149217	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.122804	0.0875711	0.195483	401.878	0.152567	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.123187	0.0462786	0.167461	834.243	0.141632	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0849512	0.0787563	0.162302	792.688	0.139587	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.115885	0.0638364	0.174941	444.434	0.143778	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.126386	0.0580288	0.192684	785.089	0.150543	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0846796	0.092889	0.166063	794.665	0.141819	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.115402	0.0759921	0.171301	448.295	0.145654	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.110125	0.0791205	0.174229	798.603	0.14588	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.141169	0.0702633	0.196054	437.922	0.155702	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.148857	0.0579117	0.189404	789.057	0.14977	isolation_0.4_0.3_0.2	0.2	0.3	ABC
