method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0615471	0.0944045	0.153689	473.912	0.138333
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0826337	0.104448	0.173245	800.349	0.14731
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.059518	0.100386	0.152653	791.249	0.141078
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0787318	0.0957265	0.160388	404.676	0.140325
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0759398	0.0972929	0.164755	590.522	0.146734
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0830667	0.115171	0.191426	403.222	0.15172
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0410845	0.116452	0.154609	782.455	0.138907
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0504311	0.103422	0.13897	451.32	0.137602
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0811564	0.0798943	0.16293	423.678	0.142076
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0660359	0.0935084	0.156912	446.435	0.143435
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0743474	0.0995691	0.171568	418.445	0.142757
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.102232	0.0728251	0.161125	474.771	0.142803
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0991928	0.11453	0.187787	788.066	0.148247
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0894638	0.102032	0.180151	785.023	0.149711
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.112323	0.0501222	0.162994	844.448	0.14379
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0345822	0.141676	0.170991	582.065	0.146537
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0838786	0.0659402	0.144782	446.286	0.138817
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0976076	0.105948	0.172014	828.131	0.14239
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0640196	0.109166	0.165866	412.793	0.14533
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0664948	0.0937835	0.165222	438.219	0.144674
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.122747	0.0730209	0.182111	821.446	0.148026
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0839003	0.0875016	0.168403	824.032	0.140103
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0824241	0.0868215	0.162338	803.58	0.144038
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0668464	0.121769	0.182693	401.959	0.15129
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0961031	0.0723726	0.161362	772.583	0.140583
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0617887	0.0936349	0.156564	407.11	0.138007
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0873967	0.0878379	0.165162	804.895	0.14265
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0759213	0.0973201	0.176651	407.616	0.145342
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0475842	0.121662	0.160818	814.125	0.14056
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0755261	0.103004	0.159652	442.416	0.142125
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0493816	0.105678	0.160207	424.384	0.140555
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0750724	0.11214	0.178702	790.151	0.149918
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.123076	0.0709889	0.186249	440.705	0.148342
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0472785	0.11258	0.156824	579.089	0.143184
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0905646	0.0744043	0.169	436.466	0.143047
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0895035	0.0775029	0.16697	824.396	0.14391
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.101427	0.090419	0.183696	840.258	0.147535
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.102598	0.0937816	0.181437	462.416	0.147214
