method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0953686	0.0771254	0.164564	439.253	0.177537
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0713144	0.059163	0.121961	670.581	0.162198
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0557583	0.0696643	0.122465	777.15	0.163939
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.078325	0.0456229	0.12197	431.326	0.163373
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0832285	0.076724	0.157051	751.533	0.178812
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0874642	0.0604424	0.137744	828.441	0.172342
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0684806	0.0701193	0.122888	703.931	0.167995
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0454106	0.0959381	0.136858	761.653	0.174482
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0738705	0.0711927	0.138247	411.697	0.172365
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0525009	0.0899193	0.136025	766.554	0.170014
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.1004	0.0629722	0.151998	842.611	0.173281
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0516652	0.0607209	0.123428	690.9	0.165768
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0869124	0.0523862	0.13872	840.617	0.170978
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0759775	0.0619135	0.143503	458.533	0.167657
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0737135	0.0734525	0.141168	452.939	0.174977
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.085342	0.0421634	0.122621	613.802	0.160964
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0839722	0.0631049	0.137668	803.087	0.169539
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0834497	0.0808901	0.150594	791.215	0.176619
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0660318	0.0693688	0.129916	402.286	0.166706
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0806281	0.0643973	0.134006	805.782	0.170902
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0785236	0.0421981	0.128221	824.19	0.1669
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.104408	0.0438749	0.146039	782.12	0.177051
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.066648	0.0589853	0.125609	439.232	0.166202
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0774696	0.0791912	0.145591	416.242	0.173842
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0613815	0.064784	0.136493	425.43	0.171759
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0951317	0.0397736	0.127359	869.991	0.168067
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.085585	0.0336324	0.116004	470.793	0.161312
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0405431	0.089639	0.126264	584.487	0.170013
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0533143	0.0485351	0.0974566	428.534	0.159348
