f	alphas	B	alphaW	sfs	path
48	0.24273841261861073	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
49	0.24281527229916344	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
50	0.24103621446860835	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
51	0.2448181602628967	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
52	0.24120051024679834	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
53	0.24024147301971555	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
54	0.2401099127448163	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
55	0.242260691276188	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
56	0.24129933308421958	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
57	0.2385724923621868	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
58	0.23987066502477128	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
59	0.23921488152082004	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
60	0.23715042010938048	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
61	0.23682750145567977	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
62	0.23958552007807066	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
63	0.23397363003588245	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
64	0.23283387184242954	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
65	0.2312043344705722	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
66	0.23187499763661368	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
67	0.22902139949769762	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
68	0.2280909240643878	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
69	0.22708053375660775	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
70	0.22575917628157505	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
71	0.2257256025866594	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
72	0.22413533003197716	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
73	0.22454723346326122	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
74	0.22235622492720597	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
75	0.22106863607951	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
76	0.2190877436756462	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
77	0.21434128598163005	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
78	0.21195614254273576	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
79	0.21074497850758367	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
80	0.205018202147923	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
81	0.1998930004085041	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
82	0.19637685531838078	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
83	0.19016395070332237	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
84	0.1816426705678823	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
85	0.19359395445665917	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
86	0.1955866057342872	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
87	0.18955232995517113	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
88	0.183199651605231	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
89	0.1833617900640826	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
90	0.19465931884376242	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
91	0.17846929731972305	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
92	0.16991370699820496	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
93	0.1701607555184559	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
94	0.171997556346827	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
95	0.1813030865319577	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
96	0.1826444562482462	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
97	0.18373528884518509	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
98	0.18712624282634416	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
99	0.18926857976639866	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
100	0.16623990323229898	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
1	-0.3208801236914216	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
2	0.037854501373682625	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
3	0.10030169935420585	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
4	0.13075794258383244	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
5	0.15269606372994948	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
6	0.16916548350401373	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
7	0.18400405489457317	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
8	0.19426446480347748	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
9	0.205108058036785	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
10	0.21097797884792346	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
11	0.21979987448714855	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
12	0.2259384855207115	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
13	0.23252386199000175	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
14	0.23655130336703967	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
15	0.2415074654984236	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
16	0.24680037725303083	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
17	0.2498515947295451	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
18	0.2530234966102347	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
19	0.2550169944375914	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
20	0.25775088279741787	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
21	0.25948424061134157	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
22	0.26165946686438546	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
23	0.26463992155291416	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
24	0.26667774916880216	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
25	0.2697823900064146	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
26	0.27057962251922885	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
27	0.2718547215641519	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
28	0.2753497247625869	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
29	0.27648329167498475	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
30	0.27758916268692424	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
31	0.28049971331125956	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
32	0.28321525982820206	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
33	0.28394136038452633	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
34	0.28591700414453736	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
35	0.2853957826567546	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
36	0.28677951071572083	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
37	0.2901808689230998	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
38	0.2916419154032467	0.8	0.3	Neutral + deleterious	noDemog_0.4_0.3_0.8
